customer_id,timestamp,type
ff58fb3560,2024/01/10 11:45:00,final_call
33dde97d25,2023/10/27 13:30:00,on_site_appointment
3afa03aa1c,2023/10/16 17:30:00,on_site_appointment
b823fbed0b,2023/12/11 08:15:00,project_call
be0b8b0205,2023/10/09 13:45:00,project_call
ef4c6978ba,2024/01/10 13:45:00,on_site_appointment
235d62ae6b,2023/10/19 13:45:00,project_call
7ead746b32,2023/11/29 16:00:00,final_call
d46d4ecab0,2023/12/12 10:00:00,on_site_appointment
81a571bf69,2023/11/03 16:00:00,
84ceeedb03,2023/11/16 15:30:00,final_call
13823dbcc2,2023/12/08 20:30:00,project_call
7133c11ce5,2023/09/27 10:30:00,on_site_appointment
a80f40a730,2023/11/07 12:30:00,project_call
403f058d79,2023/11/10 13:00:00,final_call
e88feb6708,2023/12/11 19:15:00,project_call
08d730fb35,2023/11/27 16:15:00,final_call
d0e2f44ab8,2023/10/21 12:15:00,on_site_appointment
36b4accaad,2023/11/14 13:30:00,project_call
c9878ec9dc,2023/11/03 14:30:00,final_call
2bd1df73e4,,on_site_appointment
4adef9c39a,2023/12/12 13:00:00,final_call
2aed438190,2023/11/24 13:30:00,
2a04a3aef0,2023/11/09 12:30:00,project_call
8b5f2147bf,2023/11/22 10:00:00,final_call
d66f6b55dc,2023/11/27 17:30:00,final_call
beed506bb1,2023/11/22 17:30:00,project_call
db54a80144,,final_call
eb05feea63,2023/10/31 17:15:00,project_call
43fcfe6513,2023/10/23 11:45:00,final_call
9bf8618ddc,2023/12/11 10:00:00,
0655ac06c0,2024/01/12 10:15:00,on_site_appointment
c7f59c95ee,2023/10/10 16:30:00,project_call
15eaabd27d,2023/12/01 09:30:00,project_call
b84d9cab74,2023/10/31 08:00:00,on_site_appointment
31045ed3e5,2023/11/27 17:45:00,final_call
3baad376e8,2023/10/30 10:30:00,on_site_appointment
063f8a176c,2023/11/06 17:30:00,project_call
70cda9e004,2023/11/15 10:15:00,project_call
7b7fb46f95,2023/12/01 16:45:00,final_call
babf888565,2023/11/14 16:30:00,final_call
56928bd7a8,2023/12/07 14:30:00,final_call
d0799d28f4,2023/11/14 09:00:00,project_call
44719b4f23,2023/10/25 10:00:00,final_call
9754146a3b,2023/12/05 18:00:00,final_call
12f94c1ddc,2024/01/09 12:00:00,on_site_appointment
c622cfa10b,2023/10/23 18:15:00,on_site_appointment
7adfe24ee2,2023/10/24 16:45:00,project_call
cef02a7808,2023/11/30 16:30:00,final_call
f4ae7faa22,2023/09/26 12:00:00,project_call
db33ccbc8b,2023/10/27 10:30:00,on_site_appointment
44b470ae65,,on_site_appointment
9bf8618ddc,2023/11/09 10:30:00,on_site_appointment
58d15d10d5,2023/11/13 12:15:00,project_call
46e174c84c,2023/11/17 08:45:00,on_site_appointment
7567767f7b,2024/01/10 17:30:00,final_call
ac0b258986,2023/11/09 17:45:00,on_site_appointment
05997f61c6,2023/10/24 09:15:00,project_call
73c9e52992,2023/11/22 10:45:00,final_call
fc095ad18f,2023/12/06 09:45:00,project_call
aeeac11dd9,2023/11/06 10:30:00,on_site_appointment
e2aa810ed5,2023/10/16 09:45:00,on_site_appointment
5dd202e4b2,2023/11/20 13:45:00,project_call
69075be6c5,2023/10/24 15:00:00,final_call
70f36740d5,,project_call
0a1f1adea9,2023/11/20 10:30:00,on_site_appointment
7261c2054f,2023/11/23 19:15:00,final_call
f4861c5ecc,2024/01/15 07:30:00,project_call
ef4c6978ba,2024/02/06 14:15:00,project_call
b9ce38faa4,2023/10/25 16:30:00,on_site_appointment
f6d0cd804a,2023/12/15 13:45:00,final_call
9b763855ff,2023/10/31 09:15:00,on_site_appointment
c5e82f93aa,2023/11/07 14:30:00,on_site_appointment
ac4c97a337,,on_site_appointment
20e07f8f93,2023/11/24 17:00:00,on_site_appointment
6eb1628031,2023/11/14 17:00:00,final_call
68f21aaba7,2023/12/13 10:30:00,final_call
99eab66000,2023/10/30 15:30:00,on_site_appointment
4b913ff8b7,2023/11/17 14:00:00,on_site_appointment
544dba2c2a,2023/11/03 16:00:00,project_call
28672f7462,2023/11/09 14:00:00,project_call
d7efc00001,2023/11/16 10:45:00,on_site_appointment
0976865b13,2023/10/20 14:15:00,on_site_appointment
db19401e12,2023/10/13 16:15:00,final_call
9363d9f85d,2023/11/07 10:45:00,on_site_appointment
00c8c5c75c,2023/10/10 09:30:00,on_site_appointment
4bfd9c1812,2023/10/02 18:00:00,on_site_appointment
4cf052989c,2023/10/26 17:15:00,on_site_appointment
ba5bc87248,,on_site_appointment
ba659c1a5b,2023/11/29 16:15:00,
2f1f5110a4,2023/10/13 12:45:00,project_call
2e36638c5e,2023/10/16 14:15:00,project_call
4f45c57caf,2023/10/14 09:00:00,on_site_appointment
f4faf68adc,2023/10/17 16:00:00,project_call
9c39477009,2023/11/27 15:45:00,final_call
c368fe7dd5,2023/11/20 13:15:00,
469dfc53cf,2023/11/06 10:00:00,project_call
bf35264acb,2023/11/08 17:15:00,project_call
e571aec39c,2023/11/08 12:00:00,on_site_appointment
562b4a21cb,2023/11/29 11:45:00,
15878025d8,2023/10/23 12:15:00,project_call
7c690ea0be,2023/10/17 12:30:00,on_site_appointment
2ae73a6c72,2023/11/07 18:15:00,on_site_appointment
daea10a38e,2024/01/20 10:00:00,on_site_appointment
3f6685ae4b,2023/11/09 15:00:00,final_call
442d20112d,2023/10/11 16:00:00,on_site_appointment
7e0866d8bf,2023/12/04 13:45:00,project_call
d755fb9304,2023/10/16 11:45:00,final_call
4f33ebaa4f,2023/10/31 11:00:00,on_site_appointment
ddfa96d15a,2023/10/19 14:30:00,project_call
7258467049,2023/10/27 13:00:00,on_site_appointment
445ab9364b,2023/10/19 16:45:00,project_call
88773b64d3,2023/10/18 15:00:00,final_call
192ae8827f,2023/10/16 19:30:00,on_site_appointment
0e65811052,2023/12/06 10:00:00,project_call
bc962b1c76,2023/10/26 11:15:00,project_call
14c75dcef6,2023/11/22 16:45:00,
e343b4bc0e,2023/11/17 17:30:00,project_call
e8109b03d8,2024/01/19 13:00:00,project_call
7dd663e739,2023/10/06 08:30:00,final_call
9c2f6ed68e,2023/12/05 12:00:00,final_call
8a902d7348,2023/10/17 14:00:00,on_site_appointment
f311bf9b90,2023/11/10 09:00:00,on_site_appointment
6cbaf250ee,,on_site_appointment
cea86eaba7,2023/11/17 10:45:00,on_site_appointment
cf670b9b80,2023/09/21 12:45:00,on_site_appointment
12058c4a45,2023/11/06 15:15:00,final_call
6f6288cd97,2023/11/06 18:00:00,final_call
f5ee901332,,on_site_appointment
00c9f93119,2023/11/27 09:30:00,final_call
108e03dd85,2023/11/21 09:15:00,final_call
38b0435cce,2023/10/31 09:15:00,on_site_appointment
9aa60591cc,2023/11/17 16:00:00,on_site_appointment
1622419982,2023/11/06 19:30:00,on_site_appointment
eb732f2a36,2023/11/23 17:15:00,final_call
d063287f72,2023/10/30 10:00:00,final_call
fa3ea3b8b0,2023/10/06 14:15:00,on_site_appointment
1bd4c08241,2023/11/07 17:30:00,project_call
26821e7fba,2023/11/27 16:15:00,final_call
fd47cd98b9,2024/01/08 17:00:00,final_call
a1c054b010,2023/10/26 08:30:00,project_call
fbd4c614f5,2023/12/01 17:45:00,project_call
97b11a8052,2023/11/03 14:15:00,project_call
18246a97b4,2023/10/24 16:45:00,on_site_appointment
eef2588246,2023/10/20 16:00:00,on_site_appointment
ffa67b4775,2024/02/01 08:30:00,final_call
789811c301,2023/11/08 12:15:00,final_call
bd3f9a078b,2023/10/17 16:00:00,final_call
d138cce9e2,2023/11/20 15:30:00,project_call
298477ec7c,2023/09/26 11:30:00,project_call
cc0f8d4b36,2023/11/16 18:00:00,final_call
1f4ccac6f3,2023/12/15 09:30:00,final_call
cece5d91bc,2023/10/06 13:15:00,
f6c113a65d,,final_call
63df1af3d6,2023/10/16 15:15:00,project_call
2ba193f3dd,2024/01/08 19:30:00,final_call
045ff51945,2023/12/01 13:45:00,final_call
1b0369e752,2023/10/26 07:45:00,project_call
9ec51103c1,2023/11/03 19:45:00,on_site_appointment
953db8c3e9,2023/10/31 11:00:00,final_call
abfa416ca0,2023/11/22 17:30:00,project_call
c3783e12d3,2023/12/07 15:30:00,final_call
f5f178145c,2023/11/24 15:30:00,project_call
daf440f030,2024/01/05 16:15:00,final_call
d6298cf515,2023/11/14 14:00:00,project_call
f63a75867e,2023/11/13 10:30:00,on_site_appointment
13a7ef205c,2023/09/29 13:30:00,on_site_appointment
ae18bcda94,2023/11/14 11:30:00,
d845314c03,2023/11/02 12:45:00,on_site_appointment
75cd5be68b,2023/12/07 13:15:00,project_call
af62a8b0bd,2023/11/20 11:15:00,final_call
960d545f59,2023/09/16 18:00:00,on_site_appointment
f94e638107,2023/12/07 12:00:00,final_call
c6a038523c,2023/10/23 09:00:00,on_site_appointment
1e18f644c6,2023/12/11 13:00:00,final_call
383994ebd9,2023/10/17 18:00:00,project_call
e5b58704fa,2023/11/24 18:30:00,on_site_appointment
50b1854b0c,,on_site_appointment
7bcc09028e,2023/11/17 15:15:00,project_call
06de963b61,2023/10/06 08:00:00,project_call
9c0fd56e15,2023/11/08 10:30:00,final_call
c447bbb3b3,2023/12/15 19:15:00,final_call
0b292e5826,2023/12/05 17:30:00,final_call
5c3f7f2660,,on_site_appointment
5aba74458d,2023/10/26 10:45:00,project_call
20a3319c7e,2023/11/29 10:45:00,project_call
c4d02e0748,2023/10/24 17:15:00,project_call
405d3c408f,2023/11/21 12:15:00,
cf3cf106c9,2023/09/13 13:00:00,on_site_appointment
dd0c44b65b,2023/11/01 18:30:00,project_call
9d654deab4,2023/11/01 16:45:00,on_site_appointment
ed468da8fe,2023/10/16 13:45:00,project_call
bfd91a07ce,2023/09/21 12:00:00,project_call
7c25546088,2023/11/10 11:30:00,on_site_appointment
8650456f3e,2023/11/28 12:30:00,final_call
6a928c089c,2023/11/06 16:30:00,on_site_appointment
3516c3bd4a,2023/11/02 15:30:00,on_site_appointment
