order_date,customer_id,postal_code,account_type
2023-09-04 02:00:00,584774226f,,A
2023-09-12 01:00:00,e4dd0a340c,,A
2023-09-06 03:00:00,7c0b78693f,1475.0,A
2023-09-26 00:00:00,d4c30bc021,83095.0,A
2023-10-04 01:00:00,f56fde8169,21329.0,A
2023-10-05 00:00:00,b848e34862,14251.0,A
2023-10-04 02:00:00,95fef320d2,43036.0,A
2023-10-20 02:00:00,5788a39dec,,A
2023-09-14 01:00:00,e948c24b72,70410.0,A
2023-10-10 02:00:00,d7f3d57e0b,66390.0,A
2023-09-04 01:00:00,6ca2c1765e,49588.0,A
2023-09-19 01:00:00,6022a3b31e,,A
2023-09-05 00:00:00,6f6c292350,65235.0,A
2023-10-20 01:00:00,baa8685dd5,70813.0,A
2023-09-25 02:00:00,b56b59e8c8,97393.0,A
2023-09-14 01:00:00,5043a53a8f,25560.0,A
2023-09-06 02:00:00,a44fea9771,48434.0,A
2023-09-26 03:00:00,ee8202434a,56372.0,A
2023-09-11 00:00:00,403f5e4ef4,55140.0,A
2023-09-07 04:00:00,9f663ff932,48582.0,A
2023-09-21 01:00:00,51333f41e6,21656.0,A
2023-10-16 01:00:00,ec9a3a5456,55183.0,A
2023-10-02 02:00:00,e72b4e31aa,87607.0,A
2023-09-04 02:00:00,ad738a6d68,71444.0,A
2023-09-28 01:00:00,3599976a43,17059.0,A
2023-09-29 01:00:00,e84e9a4d10,14222.0,A
2023-10-17 01:00:00,d6274d54a4,16400.0,A
2023-09-26 00:00:00,e4c3867f3a,26766.0,A
2023-10-25 03:00:00,c80e821a06,,A
2023-09-14 03:00:00,0ad6521fc2,70291.0,A
2023-09-22 01:00:00,2c21db48ad,90604.0,A
2023-09-20 00:00:00,9ee48ee3c5,35440.0,A
2023-10-03 01:00:00,813a4a5c6d,1129.0,A
2023-09-13 02:00:00,34defc5a87,39154.0,A
2023-09-26 01:00:00,6e1f315242,15810.0,A
2023-09-15 00:00:00,2340805ccd,,A
2023-09-25 01:00:00,ac71c7d561,,A
2023-09-19 01:00:00,430ef20ec1,15784.0,A
2023-09-07 01:00:00,dc6959635b,21540.0,A
2023-10-23 02:00:00,6c9d788b2a,51571.0,A
2023-09-17 02:00:00,ea77268201,95634.0,A
2023-09-07 01:00:00,dfa13006f5,47303.0,A
2023-10-12 02:00:00,9d0d58af5a,72789.0,A
2023-09-08 01:00:00,38b56072c3,13537.0,A
2023-09-06 02:00:00,c048bf9bd7,53399.0,A
2023-11-01 01:00:00,9d23e54e38,41476.0,A
2023-09-25 01:00:00,91f51c5f4d,,A
2023-09-01 01:00:00,aa6aa480a1,60438.0,A
2023-09-28 01:00:00,94711e49dd,33494.0,A
2023-09-27 01:00:00,4f17da431d,10611.0,A
2023-10-10 03:00:00,bbb4e182fd,,A
2023-09-09 00:00:00,5aa34a29c5,68850.0,A
2023-09-01 02:00:00,35c3a70a3a,97422.0,A
2023-09-01 00:00:00,9312da5ece,16835.0,A
2023-10-24 01:00:00,c780dfda8f,49588.0,A
2023-09-18 01:00:00,5937cceae2,70833.0,A
2023-09-27 00:00:00,b08b28fd55,10643.0,A
2023-09-20 02:00:00,26162c954d,53595.0,A
2023-10-30 01:00:00,b7bccdabc7,48271.0,A
2023-09-22 01:00:00,61799ed34d,4318.0,A
2023-10-03 02:00:00,f72c835041,32165.0,A
2023-10-23 01:00:00,4f73ac0ff3,42783.0,A
